,sd_theta,temp,x_init,x_step_up,n_subject,x_step_down,mean_theta,prop
0,1.0,1.0,50,25,200,25,0.5,0.0
1,1.0,1.0,50,25,500,25,0.5,0.0
2,1.0,1.0,50,25,1000,25,0.5,0.0
3,1.0,1.0,75,25,200,25,0.5,0.0
4,1.0,1.0,75,25,500,25,0.5,0.321
5,1.0,1.0,75,25,1000,25,0.5,0.0
6,1.0,1.0,100,25,200,25,0.5,0.0
7,1.0,1.0,100,25,500,25,0.5,0.653
8,1.0,1.0,100,25,1000,25,0.5,0.883
9,1.0,1.0,125,25,200,25,0.5,0.942
10,1.0,1.0,125,25,500,25,0.5,0.998
11,1.0,1.0,125,25,1000,25,0.5,1.0
12,1.0,1.0,150,25,200,25,0.5,0.967
13,1.0,1.0,150,25,500,25,0.5,0.907
14,1.0,1.0,150,25,1000,25,0.5,1.0
15,1.0,1.0,175,25,200,25,0.5,0.967
16,1.0,1.0,175,25,500,25,0.5,1.0
17,1.0,1.0,175,25,1000,25,0.5,1.0
18,1.0,1.0,200,25,200,25,0.5,1.0
19,1.0,1.0,200,25,500,25,0.5,0.957
20,1.0,1.0,200,25,1000,25,0.5,1.0
21,1.0,1.0,225,25,200,25,0.5,1.0
22,1.0,1.0,225,25,500,25,0.5,0.95
23,1.0,1.0,225,25,1000,25,0.5,1.0
24,1.0,1.0,250,25,200,25,0.5,1.0
25,1.0,1.0,250,25,500,25,0.5,1.0
26,1.0,1.0,250,25,1000,25,0.5,1.0
